Sigla,Manuscrito,Fecha,Fecha-med,Lugar,HB-Minnereden,,
cgm16,"Munich, Staatsbibliothek, cgm 16",1284,1284,bairisch,,,
W2705,"Wien, Österr. Nationalbibl., Cod 2705",1275-1300,1285,bairisch,,Wiener Kleinepikhandschrift,No tiene rúbricas
ber1430,"Berlin, Staatsbibliothek, mgo 1430",1290-1300,1295,bairisch,,,
Cpg352,"Heidelberg, cpg 352",1300,1300,moselfränkisch,,Passional,
Bodm72,"Cologny-Genf, Biblioteca Bodmeriana, 72",1300-25,1315,südl.mitteldeutsch-bairs,,Kalocsa Codex,
cpg341,"Heidelberg, cpg 341",1300-25,1315,Mitteldeutscher + Bairisch,,,
Weing.ld,Stuttgart WLB HB XIII I,1300-25,1315,Schwä-alemm,St3,,
A94,"Strasbourg, A94",1300-50,1325,Strasbourg,,,
Nu31,"Nürnberg, Germanisches Nationalmuseum, Hs 42531",1325-1350,1340,,,,
M717,"Munich, Staatsbibliothek, cgm 717",1348,1348,ostschwäbisch,,,
Bodm155,"Cologny-Genf, Fondation Martin Bodmer, Cod. Bodmer 155",1340-1360,1350,bairisch,,Nikolsburger Bispelhandschrift,
Leone,"Munich, Universitätsbibliothek, 2° Cod. ms. 731",1345-1354,1350,ostfränkisch,,Leone-Handschrift,
W2931,"Wien, Österr. Nationalbibl., Cod 2931",1350,1350,bairisch,,,
Fra1,"Frankfurt, Universitätsbibliothek, Ms. Germ. qu. 2",1370-80,1375,rheinfr.,,,
W2885,"Wien, Österreiche Nationalbibliothek, Codex Vindobonensis 2885",1393,1393,Innsbruck,,,
Cpg358,"Heidelberg, cpg 358",1400,1400,niederallemanisch,,No tiene rubricas,
Neid,Privatbesitz Wolfgang Christoph Freiherr von Velderndorf zum Neidenstein,1402,1402,,,Neidensteiner Handschrift (verschollen),
Kn2,Köln Historisches Archiv der Stadt Best. 7020,1410-1420,1415,niederfr.,Kn2,,
Cpg359,"Heidelberg, cpg 359",1420,1420,niederallemanisch,,,
LG78,"Strasbourg, L germ 78",1428,1428,mittelfränkisch,,,
Don104,"Karlsruhe, Landesbibliothek, Codex Donauschingen 104",1430,1430,alemanisch,,,
Ka408,Karlsruhe BLB 408,1430-35,1430,Schw-Bair-Ostfr,Ka7,,
Br02,"Bremen, Staats- und Universitätsbibl., msb 0042-02",1425-1450,1435,elsässisch,,,
Dr68,"Dresden, Landesbibliothek, Mscr. M 68",1447,1447,ostschwäbisch,,,
Don93,"Karlsruhe, Landesbibliothek, Codex Donauschingen 93",1448,1448,nordbairisch,,No tiene rubricas,
M319,"München, Staatsbibl., Cgm 319",1450,1450,nordbairisch,,,
M379,"Munich, Staatsbibliothek, cgm 379",1454,1454,ostschwäbisch,,Augsburger Liederbuch,
FB32001,"Innsbruck, Landesmuseum Ferdinandeum, Cod. FB 32001",1456,1456,Bairisch-österreichis,,,
Cpg356,"Heidelberg, cpg 356",1460,1460,niederallemanisch,,,
N,Munich cgm 714,1450-75,1460,Nurenberg,Mü10,,
M270,"Munich, Staatsbibliothek, cgm 270",1464,1464,ostschwäbisch,,,
cpg4,"Heidelberg, Universitätsbibl., Cpg 4",1455-1479,1465,schwäb,,,
Nu4028(1),"Nürnberg, Germanisches Nationalmuseum, Hs. 4028 (olim Hs. 4028 + 1827 + 1749)",1468,1468,oberdeutsch,,,
M568,"Munich, Staatsbibliothek, cgm 568",1468-70,1470,ostschwäbisch,,,
M713,"München, Staatsbibl., Cgm 713",1460-1480,1470,nordbairisch,,,
PragXA12,"Prague, Knihivna Nárondního muzea Cod. X A 12",1470-71,1470,niederbair.,Pr2,Liederbuch der Clara Hätzlerin,
Lo4,"London, British Library, MS Add. 24946",1450-1500,1475,nordbairisch,Lo4,,
Nu4028(2),"Nürnberg, Germanisches Nationalmuseum, Hs. 4028 (olim Hs. 4028 + 1827 + 1749)",1475,1475,bairisch,,,
Cpg313,"Heidelberg, cpg 313",1478,1478,niederallemanisch,,,
Cpg326,"Heidelberg, cpg 326",1479,1479,mittelbairisch,,,
Aheld,"Wien, Österr. Nationalbibl., Cod. Ser. nova 2663",1510,1510,südbairisch,,Ambraser Heldenbuch,
SN2593,"Wien, Österr. Nationalbibl., Cod. Ser. nova 2593",1500-15,1510,,,Herzmaere unical,
Ka86,Karlsruhe BLB Cod St. Georgen 86,1500-50,1525,schwäbisch niederalemanisch,,,
M5919,"Munich, Staatsbibliothek, cgm 5919",1500-50,1525,,,,
ber488,"Berlin, Staatsbibl., mgf 488",1530,1530,,,Agregar si consigo archivo,
W10100,"Wien, Österr. Nationalbibl., Cod 10100a",1645,1645,österreichisch,,,
