Unnamed: 0,Titulo_moderno,titulo_pal,titulo_lem,Manuscrito,Folios,Fragm?,Joint,Order in manuscript,Nombra autor,Comment
,Das Herz als Garten der Liebe,Das pluemleingertlein,daz pluemleingertlein,N,,,,1,,
,Lügenpredigt vom Backofen,Vom packofen,vom packofen,N,,,,2,,
,Der Bauern Lob,Der bawrn lob,der gebûr lob,N,,,,3,,
,Der Zaunkönig,Der vogel gesprech,der vogel gespræche,N,,,,4,,
,Renner,Dy spehen mayd,die spehen maid,N,,TRUE,,5,,
,Wolf und Pfaffe,Der wolff und pfaff,der wolf und phaffe,N,,,,6,,
,Die Bettlerin,von edelewten,von edelewten,N,,,,7,,
,Die Kinder der Edelleute,von burgern,von burgære,N,,,TRUE,8,,
,Die edle Abstammung der Bürger,von burgern,von burgære,N,,,TRUE,9,,
,Der Guardian,der gardian,der gardiân,N,,,,10,,
,Der rote Mund,vom roten mündlein,vom roten munt,N,,,,11,,
,,Der reych schreyber,der reich scrîbarus,N,,,,12,,
,Anrufung der Minne,dy mynne,die minne,N,,,,13,,
,Quodlibet,Der tor,der tor,N,,,TRUE,14,,
,Der Minne Lehen,Der tor,der tor,N,,,TRUE,15,,
,Lob der beständigen Frauen,Frawen stetigkayt,vrouwe stætecheit,N,,,TRUE,16,,
,Fluch über die ungetreuen Frauen,Frawen stetigkayt,vrouwe stætecheit,N,,,TRUE,17,,
,Der Schüler von Paris  C,Der mit der grossen mynne kraft,der mit der grossen minne kraft,N,,,TRUE,18,,
,Der Minne Kraft,Der mit der grossen mynne kraft,der mit der grossen minne kraft,N,,,TRUE,19,,
,Der Württemberger,Der ritter mit den selen,der ritter mit der sêle,N,,,,20,,
,Der Ritter in der Kapelle,Der ritter in der cappellen,der ritter in der kapelle,N,,,,21,,
,Frauentreue,Der ritter mit dem glen reiten,der ritter mit der glavîn reiten,N,,,,22,,
,Herzmaere,Der ritter mit dem herzen,der ritter mit der herzen,N,,,,23,,
,Die Klage der Minne,Dy clag der mynn,die clag der minnen,N,,,,24,,
,Das Herz,Das hercz,daz herze,N,,,,25,,
,Die fünf Namen,Dy fuenff namen,die vünf name,N,,,,26,,
,Der Minne Lehen,Fraw mynne lehen,vrouwe minne lêhen,N,,TRUE,,27,,
,Lob der Geliebten,Ein huebsch lob von einer frawen,ein hövesch lob von ein vrouwe,N,,TRUE,,28,,
,Viel anders,Das vil anders,daz vil anders,N,,,,29,,
,Die heiligen Farben,Dy heyling varb,die heilec varwe,N,,,,30,,
,Die Geburt Christi,Dy gepurt Xpi,die geburt xpi,N,,,,31,,
,Der Wirt der Seele,Der gut wirt,der guot wirt,N,,,,32,,
,Thomas von Kandelberg,Dy zwelff schuler,die zwelf scholarius,N,,,,33,,
,Die zwei Beichten,Dy zwu peicht,die zwei bigiht,N,,,,34,,
,Der Mönch als Liebesbote,Dy falsch peicht,die valsch bigiht,N,,,,35,,
,Edelstein,Dy zwen kawffman,die zwei kawfman,N,,TRUE,,36,,
,Edelstein,Der pfaff singer,der phaffe singære,N,,TRUE,,37,,
,Von Jägern,von jegern,von jegere,N,,,,38,,
,Der Bauern Hoffart,Der bawrn hofart,der gebûr hôchvart,N,,,,39,,
,Die rechte Art der Minne,Den die junckfraw fragt der lieb,der die juncvrouwe vrâgen der lieb,N,,,,40,,
,Frauenkranz,Unser frawen krancz,wir vrouwe kranz,N,,,,41,,
,Visio Philiberti C,Der sel clag,der sêle clag,N,,,,42,,
,Die Beichte,Dy beycht,die bîhten,N,,,,43,,
,Von dem Hurübel I,Dy groß blag,die grôz blag,N,,,,44,,
,Der wucherische Wechsler und der Fromme,Der wucherisch wechßler und der frumm,der wucherisch wechssler und der vrum,N,,,,45,,
,Pestgedicht,Dy beßtilencz,die besstilencz,N,,,,46,,
,Die Tinte,dy tyntt,die tint,N,,,,47,,
,Die sechs Ärzte,dy sechs erczt,die sehs arzât,N,,,,48,,
,Narrenfastnacht,,,N,,,,49,,
,Der rote Mund,Von der schonsten frawen genant der rot münt,von der schoene vrouwe nennen der rôt munt,Ka408,,,,,,
,Lob der Geliebten,,,Kn2,,,,,,
,Lob der Geliebten(3),,,He9,,,,,,
,Der erste Buchstabe der Geliebten,Von dem ersten puochstaben seins Buolen,von der êrste buochstap er buole,Be3,,,,,,
,Der erste Buchstabe der Geliebten,Von dem ersten puochstaben seins Buolen,von der êrste buochstap er buole,Lg4,,,,,,
,Die Schönheit der Geliebten,Von einer schonen frowen,von ein schoene vrouwe,Go3,,,,,,
,Die Schönheit der Geliebten,Dis ist die schoenheit der frouwen,diser sîn die schoenheit der vrouwe,Wo2,,,,,,
,Preis der Geliebten,,,Antons Hs,,,,,,
,Lob der Geliebten,,,Ro2,,,,,,
,Preis einer Frau,,,Ha3,,,,,,
,Preis der Geliebten,,,Ha3,,,,,,
,Beteuerung ewiger Treue,,,He3,,,,,,
,Segen der fernen Geliebten,,,He3,,,,,,
,Glaubenbekenntnis eines Liebenden,,,He9,,,,,,
,Der treue Liebhaber,Ain spruch von der Junckfrawen,ein spruch von der juncvrouwe,Mü4,,,,,,
,Liebesbekenntnis,,,Mü17,,,,,,
,Wohltun und Fröhlichsein,,,Ha2,,,,,,
,Zufriedene Liebe,,,Ha3,,,,,,
,Bekenntnis,,,Ha3,,,,,,
,Liebeshoffnung,,,Ha3,,,,,,
,Ironischer Frauenpreis,Zu preysen ein bulschafft,zuo prîsen ein bulschaft,Mü9,,,,,,
,Die Graserin,ain spruch van ainer grasserin,ein spruch van ein grasserin,Dr2,,,,,,
,Die Graserin,Die rede von ainer graseryn,die rede von ein graserinne,He1,,,,,,
,Das Büchlein,Ein klag einer frawen. so sy der lieb halb tuet,ein klag ein vrouwe . sô si der lieb halbe tuon,Wi23,,,,,,
,Minneklage,,,Weing.ld,,,,,,
,Minneklage eines Mannes,Ein lere Junger mann,ein lere junger mann,Lg4,,,,,,
,Minneklage eines Mannes,Ein lere Junger mann,ein lere junger mann,Be3,,,,,,
,Minneklage eines Mannes,"Ain iämerliche clag ains, da sein puole angesprochen hett","ein iämerliche clag ains, dâr sein buole anesprechen het ",Pr2,,,,,,
,Daz brechen leit,Hie hebt sich ane daz brechen leyt,hie heben sich ane daz brechen leit,Po,,,,,,
,Des Minners Klage,Das laber geiaid,daz laber geiaid,He5,,,TRUE,,,
,Des Minners Klage,,,Mü2,,TRUE,TRUE,,,
,Minneklage (B30b),Hie hebet sich an ein annder ticht,hie heben sich an ein ander tihten,We3,,,,,,
,Klage über Trennung von der Geliebten G,Diz heist di scheidvnge der clage,diser heizzen die scheidunge der clage,Leysers,,TRUE,,,,
,Der schlaflose Minner,,,He3,,,,,,
,Klage eines Liebenden,,,He3,,,,,,
,Klage um den Tod von Frauen,Veni sancti spiritus,venire sanctus spiritus,Ne,,,,,,Latein
,Das Scheiden,Von schiden,von scheiden,Pr2,,,,,,
,Das Scheiden,Von schiden,von scheiden,Be3,,,,,,
,Das Scheiden,Von schiden,von scheiden,Lg4,,,,,,
,Das Scheiden,Von schiden,von scheiden,St5,,,,,,
,Klage eines verlassenen Liebhabers,Ein spruch wie einer clagt sein ellendt,ein spruch wie ein klagen sein ellende,Hb1,,,,,,
,Klage eines verlassenen Liebhabers,Ainer clagt sein ellends wesen,ein klagen sein ellende wesen,Pr2,,,,,,
,Klage eines verlassenen Liebhabers,Ainer clagt sein ellends wesen,ein klagen sein ellende wesen,Be3,,,,,,
,Klage eines verlassenen Liebhabers,Ainer clagt sein ellends wesen,ein klagen sein ellende wesen,Lg4,,,,,,
,Liebesklage(B40),Ain hüpscher spruch von ainer bulschafft,ein hüpscher spruch von ein bulschaft,Nü3,,,,,,
,Liebesklage(B41),Ein Ander lied,ein ander liet,Be3,,,,,,
,Des Labers Rat,Ain ander guoter spruch,ein ander guot spruch,Mü4,,,,,,
,Des Labers Rat,Sequitur alter sermo,sequi alter sermo,Mü5,,,,,,Latein
,Des Labers Rat,Ain spruch von ainer Bulschafft,ein spruch von ein bulschaft,Nü3,,,,,,
,Liebesklage(B43),Van minnen,van minnen,Bs1,,,,,,
,Liebesklage einer Frau (B44),,,He3,,,,,,
,Sehnsuchtsklage einer Frau,Von grossem senen ainer frawen,von grôz senen ein vrouwe,Be3,,,,,,
,Sehnsuchtsklage einer Frau,Von grossem senen ainer frawen,von grôz senen ein vrouwe,Lg4,,,,,,
,Sehnsucht nach dem Geliebten (B46),,,Mü6,,,,,,
,Liebesklage einer Frau (B47),,,Ha3,,,,,,
,Die Klage,Ein schoene disputatz von der liebe so einer gegen einer schoenen frawen gehabt vnd getan hat,ein schoene disputatz von der liebe sô ein gegen ein schoenen vrouwe gehabt und tuon haben,Wi23,,,,,,
,Gespräch zwischen Herz und Mund,,,Gi,,,,,,
,Wer kann allen recht tun (B52)(I),Carmen quod nulles est sine defectu concludens ad dominam,karmen quod nulles sîn sine defectu concludens ad dominam,Ke1,,,,,,Latein
,Wer kann allen recht tun (B52)(I),Hie stat wie ein man tuot so dunket es nieman guot,hie stat wie ein man tuon sô dunken es nieman guot,Sr3,,,,,,
,Wer kann allen recht tun (B52)(II),Der werlt ergerüng,der werlt ergerüng,Ka7,,,,,,
,Wer kann allen recht tun (B52)(II),Ein guott Spruch der weltt lauff gar aubenturlicher,ein guot spruch der welt louf gar aubenturlicher,Lo3,,,,,,
,Wer kann allen recht tun (B52)(III),Wie die welt eins itzlichen spot,wie die welt eins etelich spot,De2,,,,,,
,Wer kann allen recht tun (B52)(III),Wie die welt ains yeglichen spottet,wie die welt ains iegelich spotten,Pr2,,,,,,
,Wer kann allen recht tun (B52)(III),Wie die welt ains yeglichen spottet,wie die welt ains iegelich spotten,Be3,,,,,,
,Wer kann allen recht tun (B52)(III),Wie die welt ains yeglichen spottet,wie die welt ains iegelich spotten,Lg4,,,,,,
,Wer kann allen recht tun (B52)(IV),Niemannt lebt Inn der wellt Es werd auff in gesagt ain geprest oder mer,niemannt leben inn der wellen es werd ûf in sagen ein gebreste oder mer,Be4,,,,,,
,Vom Zweifel,Van twiuel,van twiuel,Bs3,,,,,,
,Vom Zweifel,Van twiuel,van twiuel,Ha4,,,,,,
,Scheidsamen,Ain ander spruch,ein ander spruch,Mü19,,,,,,
,Klage über die Untreue der Geliebten,Ach got wie we dem ist / Der liebt sucht do keine ist,ach got wie wê der sîn / der lieben suochen do kein sîn,Be3,,,,,,
,Liebesklage eines Mannes,Ain ellende clag,ein ellende clag,Be3,,,,,,
,Liebesklage eines Mannes,Ain ellende clag,ein ellende clag,Lg4,,,,,,
,Liebespein,,,Ha3,,,,,,
,Schelte gegen die Klaffer,,,Be17,,,,,,
,Klage über die Arglist der Klaffer,,,Be3,,,,,,
,Klage über die Trennung von der Geliebten G,Die clagede rede,die clagede rede,Tr,,,,,,
,Liebesklage(B63),,,Ha3,,,,,,
,Klage einer Liebenden(B64),,,Be8I,,,,,,
,Klage vor Frau Minne,,,Mü11,,,,,,
,Die Nacht in der Feldscheune,,,He3,,,,,,
,Minneklage(B67),,,Ke1,,,,,,
,Liebesklage an die Geliebte,,,Lg3,,,,,,
,Liebesfreuden und -leiden,,,Wi4,,,,,,
,Liebesklage(B70),,,,,,,,,
,Liebesklage(B71),,,,,,,,,
,Liebesklage(B72),Van minnen,van minnen,Bs1,,,,,,
,Minnespruche an die Geliebte(B73),,,,,,,,,
,Minnespruche an die Geliebte(B74),,,,,,,,,
,Liebesbrief(B77),Van minnen,van minnen,Bs1,,,,,,
,Liebesbrief(B78),Van minnen,van minnen,Bs1,,,,,,
,Liebesbrief(B79),Van minnen ene vriendelike groete van enen lieue ten anderen,van minnen ane vriendelike groete van ein liebe der ander,Bs1,,,,,,
,Liebesbrief(B80),Noch een vriendelike salwt van minnen,noch ein vriendelike salwt van minnen,Bs1,,,,,,
,Liebesgrüsse(B82),De beata virgine,de beata virgo,,,,,,,Latein
,Alphabetischer Liebesgruss (B141),Das ist das abcdef etc,daz sîn daz abcdef etcetera,He9,,,,,,
,Liebesbrief (B145),Littera amantis loquitur,littera amantis loqui,Ke1,,,,,,Latein
,Berliner Liebesbrief I (B148),Die Puelbrief,die puelbrief,Be12,,,,,,
,Berliner Liebesbrief II (B149),Alius Epistola pro Eodem,Alius epistola pro eodem,Be12,,,,,,Latein
,Berliner Liebesbrief III (B150),Das Capitel lernett wie dw vmb ein igliche nach dem stant durch schrifft buolenn solt Wie ich dir hirnach auff weiyß. Sequitur epistula.,daz capitulo lernen wie dû umbe ein iegelich nâch der stân durch schrift buolenn solt wie ich dû hernâch ûf weiiss . sequi epistula .,Be12,,,,,,
,Berliner Liebesbrief IV (B151),Einer purgerin sol man Schreyben wie Oben angezeygt ist vnd nach ler antwurtt magstu dich aber haltenn vnd sterben. Einer Pawrnmaid,ein purgerin sol man schrîben wie oben angezeigt sîn und nach lêre antwurten magstu dû aber haltenn und sterben . ein pawrnmaid,Be12,,,,,,
,Liebesgruß mit einem Geschenk (B159a),Ihc wil vhc sagis wisci Crist / swo liep bei liebi ist / diu frumint dicki frovde mit anbliche,ihc wil vhc sagis wisci Christus / swâ liep bî liebe sîn / die frumint dicki vröude mit anblic,Münchner Minnekästen,,,,,,
,Neujahrgruß auf 1441 (B161),Eines Neues Jar,eines niuwe jâr,Be3,,,,,,
,Neujahrgruß auf 1441 (B161),Ein newes iar Im xlj,ein niuwe jâr er xlj,Lg4,,,,,,
,Neujahrgruß auf 1442 (B162),Ein New Jar im xkji,ein niuwe jâr er xkji,Be3,,,,,,
,Neujahrgruß auf 1442 (B162),Ein New Jar im xkji,ein niuwe jâr er xkji,Lg4,,,,,,
,Die goldene Schmiede,Ditz heizet daz guldin lop vnser vrouwe / Got hel daz wir si mvezen schowen,diser heizzen daz guldîn lop wir vrouwe / got hel daz wir si müezen schouwen,cpg341,,,,1,,
,Unser Frauen Kage,Ditz buch heist vnser vrowen klage / Die sol man lesen alle tage,diser buoch heizzen wir vrouwe klage / die sol man lesen al tac,cpg341,,,,5,,
,Von dem Jungesten Tage,Ditz ist von dem Jungesten tage / Da man horet iamers klage,diser sîn von der jungeste tac / dâr man hoeren jâmer klage,cpg341,,,,6,,
,Passional – Vom Geburtsfest Mariae,Hie hebent sich an groz wunder / von vnser vrowen besvnder,hie heben sich an grôz wunder / von wir vrouwe besunder,cpg341,,,,,,
,Passional – Erscheinung am Lichtmeßtage,Hie hebet sich ein mer an / von einer edelen vrowen ysan,hie heben sich ein mer an / von ein edelen vrouwe iesâ,cpg341,,,,,,
,Passional – Gaude Maria virgo,Ditz mere ist ovch geschehen / wie ein blinder wart gesehen,diser mere sîn ouch geschehen / wie ein blint werden sehen,cpg341,,,,,,
,Passional – Maria im Turnier,Ditz ist ein schoner mer / von einem Ritter lobeber,diser sîn ein schoene mer / von ein ritter lobeber,cpg341,,,,,,
,Passional – Der Jesusknabe als Geisel,Ditz ist ein mere gvt / von einer vrowen vnd ir svn wol gemvt,diser sîn ein mere guot / von ein vrouwe und sie sun wol gemuot,cpg341,,,,,,
,Passional – Die Rettung des gehängten Diebes,Ditz ist ein mer gentzlich / von einem Diebe vreislich,diser sîn ein mer ganz / von ein diep vreislich,cpg341,,,,,,
,"Passional – Ein Scholar, Marias Bräutigam",Ditz ist ein hvbschez mere / von einem schvlere,diser sîn ein hvbschez mere / von ein schvlere,cpg341,,,,,,
,Passional – salve sancta parens,Ditz ist ein tovgenlichez mere / von einem pharrere,diser sîn ein tougenlich mere / von ein pharrere,cpg341,,,,,,
,Passional – Der Traum des Scholaren,Hie ist ovch ein schoene mer / von einem tvmben schvler,hie sîn ouch ein schoene mer / von ein tump schvler,cpg341,,,,,,
,Passional – Der ertrunkene Glöckner,Hie hebet sich ein mere an / von einem mvnche vreizan,hie heben sich ein mere an / von ein münech vreizan,cpg341,,,,,,
,Passional – Die Blume im Munde,Hie kvnde ich vch ein mere / von einem svntigen schvlere,hie kunnen ich sie ein mere / von ein svntigen schvlere,cpg341,,,,,,
,Passional – Hilfe in Seenot,Ditz ist ein schoner mere / von einem apte lobebere,diser sîn ein schoene mere / von ein abbet lobebære,cpg341,,,,,,
,Passional – Das Marienbild in Konstantinopel,Hie ist ein schones wunder / von vnser vrowen bilde besvnder,hie sîn ein schoene wunder / von wir vrouwe bilde besunder,cpg341,,,,,,
,Passional – Der Teufel als Kämmerer,Hie hebet sich ein mer an / von einem Ritter wol getan,hie heben sich ein mer an / von ein ritter wol tuon,cpg341,,,,,,
,Passional – Die Ave Maria-Lilie,Hie hebt sich ein schoner mer an / von einem edelen manne san,hie heben sich ein schoene mer an / von ein edelen man san,cpg341,,,,,,
,Passional – Maria rettet einen Maler,Ditz mere ist schone vnde gewer / von einem stolzen maler,diser mere sîn schoene und gewer / von ein stolz mâler,cpg341,,,,,,
,Passional – Die geschwätzigen Mönche,Ditz ist ein mere vnd ein wunder / Daz die tevfel einen brobst fvrten besvnder,diser sîn ein mere und ein wunder / daz die tiuvel einen brobest vüeren besunder,cpg341,,,,,,
,Passional – Drei Äpfel zur Warnung,Ditz ist ein schoner mere / von einem Ritter lobebere,diser sîn ein schoene mere / von ein ritter lobebære,cpg341,,,,,,
,Passional – Der Traum des Sünders,Dizt ist ein schoner mer / von einem offen svnder,dizt sîn ein schoene mer / von ein ofen sunder,cpg341,,,,,,
,Passional – Maria rettet einen Ritter um seiner Frau willen,Ditz ist ein schoner mere / von einem Ritter lobewere,diser sîn ein schoene mere / von ein ritter lobewere,cpg341,,,,,,
,Passional – Der Scholar und das Marienbild,Ditz ist ein schoner mere / von einem schvlere,diser sîn ein schoene mere / von ein schvlere,cpg341,,,,,,
,Passional – Theophilus,Ditz mere hebet sich an also / von dem heiligen Theophilo,diser mere heben sich an alsô / von der heilec theophilo,cpg341,,,,,,
,Passional – Marias Fürbitte für einen Ritter,Ditz mere ist von einem edeln man / Der wilent Ritter wart ysan,diser mere sîn von ein edel man / der wîlent ritter wart iesâ,cpg341,,,,,,
,Unser Frauen Ritter,Ditz ist ein schones mere / von einem Ritter lobere,diser sîn ein schoene mere / von ein ritter lobere,cpg341,,,,30,,
,Thomas von Kandelberg,Ditz ist ein bvch ze horen / von zwelf schvleren,diser sîn ein buoch zuo horen / von zwelf schvleren,cpg341,,,,31,,
,Marien Rosenkranz,Hie ist ein schones mere / von einem schvlere,hie sîn ein schoene mere / von ein schvlere,cpg341,,,,32,,
,Frauentrost,Ditz mere ist von dem graben mantel / vnd vnser vrowen wunder an allen wandel,diser mere sîn von der graben mantel / und wir vrouwe wunder an al wandel,cpg341,,,,33,,
,Der Heller der armen Frau,Wie eines kvnges mvnster volquam / von einer armen spinnerin helbelinc san / Mit dem si alle ir not vber quam,wie eines künic münster volkomen / von ein armen spinnerinne helbelinc san / mit der si al sie not über komen,cpg341,,,,34,,
,Cato,Ditz buoch heizet Katho / vnde liset man ez in der schvele do,diser buoch heizzen Cato / und lesen man ez in der schvele do,cpg341,,,,35,,
,Der Magezoge,Ditz buoch ist geheizen ein spigel aller tugent / vnde ein maitzoge aller Jvgent,diser buoch sîn geheizzen ein spiegel al tugent / und ein magezoge al jvgent,cpg341,,,,36,,
,Der Seele Kranz,Ditz bvchen heizet der tvgent krantz / Daz mach vns an der sele glantz,diser buoch heizzen der tugent kranz / daz mach wir an der sêle glanz,cpg341,,,,37,,
,Der Wiener Meerfahrt,Ditz buoch ist von seltzener art / vnde heizet der Wienner mer vart,diser buoch sîn von seltzener art / und heizzen der Wiene mêr vart,cpg341,,,,38,,
,Das Frauenturnier,Ditz heizet der vrowen tvrneÿ / vnd ist veste als ein eÿ,diser heizzen der vrouwe tvrneï / und sîn vaste als ein eï,cpg341,,,,39,,
,Der Hauskummer,Ditz bvch ist der kvmber genant / vnd bringet manchen in sorgen bant,diser buoch sîn der kumber nennen / und bringen manec in sorgen bant,cpg341,,,,40,,
,Warum Gott sein Haupt neigte,Ditz mere hie betzeiget / war vmb got sin haubt neiget,diser mere hie bezeigen / war umbe got sin houbet neigen,cpg341,,,,41,,
,Mönch Felix,Ditz ist der mvnch Felix genant / Der tut vns ditz mere bekant,diser sîn der münech felix nennen / der tuon wir diser mere bekant,cpg341,,,,42,,
,Johann von Michelsberg,,,cpg341,,,,,,
,Der Herrgottschnitzer,,,cpg341,,,,,,
,Frauenlist,Ditz buoch heizet vrowen list / Got herre vns selben bie ist,diser buoch heizzen vrouwe list / got herre wir selp bîe sîn,cpg341,,,,43,,
,Des Hundes Not,Ditz buoch heizet des hvndes not / wan er was nach hvngers tot,diser buoch heizzen der hunt not / wan er was nach hvngers tôt,cpg341,,,,44,,
,Der Reiher,Ditz ist von einem Reiger ein mer / Got vber hebe vns aller swer,diser sîn von ein reiger ein mer / got über heben wir al swer,cpg341,,,,45,,
,Die Halbe Decke II,Ditz heizet des kotzen mere / Got beneme vns vnser swere,diser heizzen der kotze mere / got benemen wir wir swere,cpg341,,,,46,,
,Der Schlegel,Ditz mere ist der Slegel genant / vnd schvf in manic ere bekant,diser mere sîn der slegel nennen / und schaffen in manec ere bekant,cpg341,,,,47,,
,Die Heidin B,Hie hebet sich an die Heideninne / Got geb vns die ware minne,hie heben sich an die heideninne / got geben wir die wâr minne,cpg341,,,,48,,
,Der Jüngling,Ditz buchel heizet der Jvngelinch / Got der bezzer vnser dinch,diser buoch heizzen der jvngelinch / got der bezzer wir dinc,cpg341,,,,49,,
,Crescentia C,Ditz buoch heizet Krescencia / Die was ein vrowe lobesa,diser buoch heizzen krescencia / die was ein vrouwe lobesa,cpg341,,,,50,,
,Frauentreue,Ditz buoch heizet der vrowen triwe / Got helf vns mit gantzer rvewe,diser buoch heizzen der vrouwe triuwe / got helfen wir mit ganz rvewe,cpg341,,,,51,,
,Der Teufel und die Seele,Ditz ist von des tevfels swer / Ein vil seltzenes mer,diser sîn von der tevfels swer / ein vil seltzenes mêr,cpg341,,,,52,,
,Des Mönches Not,Ditz ist ein schones mere gnvc / Wie ein mvnch ein kint trvc,diser sîn ein schoene mere genuoc / wie ein münech ein kint tragen,cpg341,,,,53,,
,Adam und Eva A,Ditz buoch heist Adams klag / Die er leid mangen tag,diser buoch heizzen Adam klagen / die er leid manec tac,cpg341,,,,54,,
,Der Pfaffe Amis,Ditz bvch heizet pfaf Ameys / Der gewan mancher hande preis,diser buoch heizzen phaffe amîs / der gewinnen manec hant prîsen,cpg341,,,,55,,
