Id,Author,mod_title,Genre,Comment
,,Ablaßbrief,Religious,
,,Abschiedsgruß,Minnerede,
,,Adam und Eva,Geist.Parodie,
,,Adam und Eva A,Geist.Parodie,
,Konrad von Würzburg,Alexius,Legende,
,,Alexius C,Legende,
,,Alphabetischer Liebesgruss (B141),Minnerede,
,,Alten Weibes List,,
,,Alter Ehemann,Minnerede,
,,Alter Ehemann junge Ehefrau,Maere,
,,Anrufung der Minne,Minnerede,
,,Aristoteles und Phyllis,Maere,
,,Aristoteleslehre,Didaktik,
,,Ave Maria-Parodie,Geist.Parodie,
,Rudolf von Ems,Barlaam und Josaphat,Legende,
,,Bauernregel,Recht,
,,Bekenntnis,Minnerede,
,,Belauschtes Liebesgespräch,Minnerede,
,,Belehrung eines jungen Mannes,Minnerede,
,,Berchta,Maere,
,,Berliner Liebesbrief I (B148),Minnerede,
,,Berliner Liebesbrief II (B149),Minnerede,
,,Berliner Liebesbrief III (B150),Minnerede,
,,Berliner Liebesbrief IV (B151),Minnerede,
,Freidank,Bescheidenheit,Moral,
,–,Beständigkeit und Wankelmut,Moral,
,,Bestrafte Untreue,Minnerede,
,–,Bestraftes Misstrauen,Minnerede,
,–,Besuch bei der Geliebten,Minnerede,
,–,Beteuerung ewiger Treue,Minnerede,
,,Bettgespräch,Minnerede,
,,Biterolf und Dietlieb,Epik,
,–,Biterolf und Dietlieb (Biterolf),Epik,
,–,Bremse im Blütenhaus,Fabel,
,–,Cato,Didaktik,
,,Cato-Parodie,,
,–,Christliche Lebenslehre,Religious,
367-79,Der Stricker,Christus eine gebärende Frau,Religious,
,,Cisioianus,,
,,Contra feminas,,
,,Crescentia,Legende,
,,Crescentia C,Legende,
,–,Das Almosen,Religious,
,Meister Altswert,Das alte Schwert,Minnerede,
,,Das Alter von Zaun Hund Pferd usw,Fabel,
,–,Das Auge,Maere,
367-80,Der Stricker,Das Bild,Maere,
,Der Stricker,Das Bloch,Maere,
,–,Das Büchlein,Minnerede,
,Rudolf von Ems,Das Einhorn,Legende,
367-106,Der Stricker,Das entweihte Gotteshaus,Maere,
367-142,Der Stricker,Das erzwingene Gelübde,Maere,
,–,Das Frauenturnier,Maere,Latin
,–,Das Gänslein,Maere,
,,Das gebratene Ei,Maere,
,,Das Gnaistli,Maere,
,,Das goldene Jahr,,
,–,Das Häslein,Maere,
367-28,Der Stricker,Das heiße Eisen,Maere,Latin
,Egen von Bamberg,Das Herz,Minnerede,
1563,–,Das Herz als Garten der Liebe,Minnerede,
,Konrad von Würzburg,Das Herzmaere,Maere,
367-2,Der Stricker,Das Katzenauge,Maere,
,–,Das Kerbelkraut (Weiberlist),Minnerede,
,,Das Kloster der Minne,Minnerede,
,,Das Kreuz,,
,,Das Meiden,Minnerede,
,Ebelin von Eselsberg,Das nackte Bild,Minnerede,Latin
,,Das neue Deutsch,Minnerede,
,Johannes von Freiberg,Das Rädlein,Minnerede,
,–,Das Scheiden,Minnerede,
,,Das schlaue Gretlein,Maere,
,,Das Schleiertüchlein,Maere,
,,Das Schloss Immer,Minnerede,
,–,Das Schneekind,Maere,
367-125,Der Stricker,Das stinkende Haus,Maere,
,,Das Strohkränzlein,Minnerede,
,,Das Turnier von Nanthes,Epik,
,,Das Unglück,Minnerede,
,,Das Vergißmeinnicht,Maere,
,–,Das Wachtelmäre,Maere,
367-144,Der Stricker,Das weisse Tuch,Maere,
,,Das Wesen der Minne,Minnerede,
,,Das Wesen der Minne II,Minnerede,
367-57,Der Stricker,Das wilde Roß,Maere,
367-31,Der Stricker,Das Wildpret,Maere,
,Peter Suchenwirt,Das Würfelspiel,Moral,
,–,Das Zauberkraut,Minnerede,
,–,Das Zelt der Minne,Minnerede,
,–,Daz brechen leit,Minnerede,
,,De contemptu mundi,Religious,
,,De curia romana,Religious,
,,Der Allenfrauenhold,Minnerede,
,Hartmann von Aue,Der arme Heinrich,Legende,
,–,Der arme Lazarus,Legende,
367-38,Der Stricker,Der arme und der reiche König,Maere,Latin
,,Der Axtstiel,Maere,
,,Der Barbier,Maere,
,Durst,Der Bauern Hoffart,Maere,
,–,Der Bauern Lob,Maere,Latin
,–,Der Baum mit dem dürren Ast,Maere,
367-27,Der Stricker,Der begrabene Ehemann,Maere,
,,Der betrogene Blinde,Maere,
,Herrand von Wildonie,Der betrogene Gatte,Maere,
,,Der Bildschnitzer von Würzburg,Maere,
367-75,Der Stricker,Der blinde Dieb,Maere,
,Dietrich von der Glezze,Der Borte,Maere,
,,Der bösen klaffer Trügen,Maere,
,,Der Bussard,Maere,
,Der Stricker,Der durstige Einsiedel,Maere,
367-129,Der Stricker,Der eigensinnige Spötter,Maere,
367-162,Der Stricker,Der einfältige Ritter,Maere,
,,Der Einsiedel,Maere,
,,Der eiserne und der irdene Hafen,Maere,
,,Der entflogene Falke,Maere,
367-98,Der Stricker,Der ernsthafte König,Maere,
,–,Der erste Buchstabe der Geliebten,Minnerede,
367-70,Der Stricker,Der Esel,Fabel,
,,Der Esel in der Löwenhaut,Fabel,
,,Der Esel und der Wolf,Fabel,
,,Der Eselsgeselle,Fabel,
,Der Stricker,Der falsche Blinde,Maere,
,,Der falschen Klaffer List,Maere,
,Der Stricker,Der Feldbauer,Maere,
,,Der Fischer und der kleine Fisch,Bispel,
,,Der Frau Venus neue Ordnung,Minnerede,
,,Der fremde Sinn,Minnerede,
,,Der Fürsten Teilung,,
367-68,Der Stricker,Der Gärtner,Maere,
367-136,Der Stricker,Der Gast und die Wirtin,Maere,
367-132,Der Stricker,Der gefangene Räuber,Maere,
367-165,Der Stricker,Der geprüfte Diener,Maere,
,Elsässischer Anonymus,Der gestohlene Schinken,Maere,
367-145,Der Stricker,Der Gevatterin Rat,Maere,
,,Der Graf von Rom,,
,–,Der Guardian,Minnerede,
,Dietrich von der Glezze,Der Gürtel,Minnerede,
,–,Der Habicht und das Huhn,Fabel,
,,Der Hahn und die Henne,Fabel,
367-65,Der Stricker,Der Hahn und die Perle,Fabel,
367-44,Der Stricker,Der Hase,Fabel,
,Der Vriolsheimer,Der Hasenbraten,Maere,
,,Der Hauskummer,Maere,
,,Der Heller der armen Frau,Maere,
,Hermann Fressant,Der Hellerwertwitz,Maere,
,–,Der Herbst und der Mai,Maere,
,,Der Herr mit den vier Frauen,Maere,
,–,Der Herrgottschnitzer,Maere,
,–,Der hohle Baum,Maere,
367-67,Der Stricker,Der Hort,Maere,
,,Der Hund am Wasser,Bispel,
367-101,Der Stricker,Der Hund und der Stein,Fabel,
367-37,Der Stricker,Der Juden Abgott,Bispel,
367-35,Der Stricker,Der junge Baum,Maere,
367-39,Der Stricker,Der junge Ratgeber,Maere,
,Konrad von Haslau,Der Jüngling,Maere,
367-29,Der Stricker,Der Käfer im Rosenhaus,Fabel,
367-32,Der Stricker,Der Kater als Freier,Fabel,
367-52,Der Stricker,Der Kirchtag,Bispel,
,Meister Altswert,Der Kittel,Minnerede,
367-f127k,Der Stricker,Der kluge Knecht,Maere,
,,Der Knappe und die Frau,Maere,
,Hans Rosenplüt,Der Knecht im Garten,Maere,
367-90,Der Stricker,Der Knecht in Herrenkleidern,Maere,
,–,Der König im Bad,Maere,
367-164,Der Stricker,Der König und sein Feind,Maere,
,,Der Kornkäfer,Fabel,
367-54,Der Stricker,Der Krämer,Maere,
,,Der Krautgarten,Maere,
,,Der Krebs und sein Kind,Fabel,
,,Der Landstricher im Freudenhaus,Maere,
,,Der Liebende vor Frau Ehre,Minnerede,
